# No              x0             py0            T            C            Stab              xh             pyh
00000 +1.39639159e+01 -1.24011380e+01   8.82608198 -110.00000000 +2.80740647e+04 +1.09580667e-04 +1.35504333e+02
00001 +1.33144490e+01 -1.18246415e+01   8.82442163 -100.00000000 +2.43397413e+04 +1.21471775e-04 +1.28704162e+02
00002 +1.26316562e+01 -1.12185963e+01   8.82233914  -90.00000000 +2.07879011e+04 +1.36261863e-04 +1.21522238e+02
00003 +1.19098145e+01 -1.05779371e+01   8.81966194  -80.00000000 +1.74284569e+04 +1.55153561e-04 +1.13888061e+02
00004 +1.11413487e+01 -9.89596252e+00   8.81611249  -70.00000000 +1.42731400e+04 +1.80115558e-04 +1.05707240e+02
00005 +1.03158646e+01 -9.16348509e+00   8.81121672  -60.00000000 +1.13361355e+04 +2.14600014e-04 +9.68488795e+01
00006 +9.41841947e+00 -8.36731149e+00   8.80409829  -50.00000000 +8.63508187e+03 +2.65237018e-04 +8.71233138e+01
00007 +8.42612850e+00 -7.48727093e+00   8.79295365  -40.00000000 +6.19275584e+03 +3.46472302e-04 +7.62398848e+01
00008 +7.30060845e+00 -6.48962726e+00   8.77344402  -30.00000000 +4.04020269e+03 +4.96264095e-04 +6.37195062e+01
00009 +5.96755537e+00 -5.30942547e+00   8.73214382  -20.00000000 +2.22346337e+03 +8.50672714e-04 +4.86945922e+01
00010 +4.23895556e+00 -3.78463759e+00   8.60052118  -10.00000000 +8.22104792e+02 +2.33548287e-03 +2.94362271e+01
00011 +4.02633907e+00 -3.59802635e+00   8.57074306   -9.00000000 +7.10170462e+02 +2.74345801e-03 +2.71690275e+01
00012 +3.80222261e+00 -3.40171371e+00   8.53351376   -8.00000000 +6.04299701e+02 +3.28826185e-03 +2.48271498e+01
00013 +3.56457904e+00 -3.19410036e+00   8.48577719   -7.00000000 +5.04842386e+02 +4.04043139e-03 +2.24093233e+01
00014 +3.31073483e+00 -2.97313268e+00   8.42258887   -6.00000000 +4.12211027e+02 +5.12210104e-03 +1.99165471e+01
00015 +3.03706283e+00 -2.73613238e+00   8.33542737   -5.00000000 +3.26901657e+02 +6.75861949e-03 +1.73537629e+01
00016 +2.73849390e+00 -2.47958764e+00   8.20836244   -4.00000000 +2.49533270e+02 +9.39965716e-03 +1.47326460e+01
00017 +2.40779970e+00 -2.19905737e+00   8.00828262   -3.00000000 +1.80960538e+02 +1.40353597e-02 +1.20762835e+01
00018 +2.03518582e+00 -1.89020017e+00   7.65663484   -2.00000000 +1.22787172e+02 +2.31374237e-02 +9.42747968e+00
00019 +1.61499445e+00 -1.55723120e+00   6.94895097   -1.00000000 +8.04597816e+01 +4.38314097e-02 +6.87282419e+00
00020 +1.20817994e+00 -1.24833769e+00   5.60605818    0.00000000 +7.67405533e+01 +9.51491910e-02 +4.68282636e+00
00021 +9.77801752e-01 -1.00050388e+00   4.32640252    1.00000000 +1.42188452e+02 +1.87971835e-01 +3.30981297e+00
00022 +8.85858598e-01 -7.30288991e-01   3.64473926    2.00000000 +2.81371460e+02 +3.01138030e-01 +2.51778527e+00
00023 +8.37144027e-01 -3.84128071e-01   3.28911974    3.00000000 +5.12679610e+02 +4.25847177e-01 +1.92269652e+00
00024 +7.75219130e-01 +1.56502880e-01   3.08230098    4.00000000 +8.62347092e+02 +5.80196027e-01 +1.25620868e+00
00025 +6.93702362e-01 +6.91434613e-01   3.03301990    4.32674461 +1.00680122e+03 +6.93019793e-01 +6.95288226e-01
