# No              x0             py0            T            C            Stab              yq             pxq
00000 +1.83215943e+00 -1.18357307e+01   6.28058275 -140.00000000 +9.96416816e-01 -2.36561774e+01 +1.18204457e+01
00001 +1.40175408e+00 -1.14056000e+01   6.28027691 -130.00000000 +9.95995912e-01 -2.27947411e+01 +1.13891399e+01
00002 +9.54450945e-01 -1.09586173e+01   6.27990609 -120.00000000 +9.95485650e-01 -2.18994051e+01 +1.09407863e+01
00003 +4.88088227e-01 -1.04926333e+01   6.27944920 -110.00000000 +9.94857025e-01 -2.09658174e+01 +1.04731822e+01
00004 +7.92095416e+00 -1.00049992e+01   6.27887542 -100.00000000 +9.94067693e-01 -1.99886060e+01 +9.98360442e+00
00005 +9.48683256e+00 -9.49238751e+00   6.27813813  -90.00000000 +9.93053643e-01 -1.89610081e+01 +9.46861750e+00
00006 +8.94427135e+00 -8.95052054e+00   6.27716380  -80.00000000 +9.91713901e-01 -1.78743069e+01 +8.92378221e+00
00007 +8.36659948e+00 -8.37374121e+00   6.27583009  -70.00000000 +9.89880665e-01 -1.67169347e+01 +8.34318771e+00
00008 +7.74596554e+00 -7.75429721e+00   6.27391967  -60.00000000 +9.87256013e-01 -1.54729649e+01 +7.71865915e+00
00009 +7.07106601e+00 -7.08106338e+00   6.27101132  -50.00000000 +9.83263283e-01 -1.41193886e+01 +7.03831175e+00
00010 +6.32455219e+00 -6.33704760e+00   6.26618557  -40.00000000 +9.76646044e-01 -1.26207083e+01 +6.28363720e+00
00011 +5.47721924e+00 -5.49387645e+00   6.25705312  -30.00000000 +9.64150198e-01 -1.09166606e+01 +5.42273617e+00
00012 +4.47211906e+00 -4.49709283e+00   6.23535516  -20.00000000 +9.34604802e-01 -8.88786936e+00 +4.39064512e+00
00013 +3.16219445e+00 -3.21204224e+00   6.14989902  -10.00000000 +8.20349723e-01 -6.21399449e+00 +3.00123023e+00
00014 +3.08211410e+00 -3.13457209e+00   6.13950377   -9.50000000 +8.06690016e-01 -6.04832315e+00 +2.91293320e+00
00015 +2.99989585e+00 -3.05525197e+00   6.12769222   -9.00000000 +7.91233720e-01 -5.87780671e+00 +2.82162233e+00
00016 +2.91535869e+00 -2.97395119e+00   6.11418052   -8.50000000 +7.73639812e-01 -5.70199176e+00 +2.72696998e+00
00017 +2.82829455e+00 -2.89052439e+00   6.09860775   -8.00000000 +7.53477325e-01 -5.52035057e+00 +2.62858713e+00
00018 +2.73846225e+00 -2.80480965e+00   6.08050898   -7.50000000 +7.30202974e-01 -5.33226323e+00 +2.52600679e+00
00019 +2.64557973e+00 -2.71662637e+00   6.05927645   -7.00000000 +7.03116381e-01 -5.13699425e+00 +2.41866153e+00
00020 +2.54931360e+00 -2.62577330e+00   6.03410268   -6.50000000 +6.71316740e-01 -4.93366113e+00 +2.30585245e+00
00021 +2.44926520e+00 -2.53202695e+00   6.00389500   -6.00000000 +6.33613860e-01 -4.72119186e+00 +2.18670535e+00
00022 +2.34495136e+00 -2.43514140e+00   5.96714408   -5.50000000 +5.88433154e-01 -4.49826610e+00 +2.06010783e+00
00023 +2.23577753e+00 -2.33485119e+00   5.92171593   -5.00000000 +5.33652315e-01 -4.26323312e+00 +1.92461654e+00
00024 +2.12099910e+00 -2.23088134e+00   5.86451258   -4.50000000 +4.66395851e-01 -4.01399543e+00 +1.77831731e+00
00025 +1.99966506e+00 -2.12297348e+00   5.79090022   -4.00000000 +3.82754668e-01 -3.74784370e+00 +1.61860905e+00
00026 +1.87053431e+00 -2.01094853e+00   5.69371236   -3.50000000 +2.77478765e-01 -3.46122677e+00 +1.44186305e+00
